,funcao,valorEmpenhado
0,Administração,0.0006455747518195312
1,Agricultura,0.03581604113154043
2,Assistência social,0.01692862019783214
3,Comércio e serviços,0.009067061121060831
4,Cultura,0.021760946690545995
5,Defesa nacional,0.2201848713194616
6,Educação,0.504901681349935
7,Organização agrária,0.012542603468092486
8,Relações exteriores,0.006034694960679938
9,Saúde,0.11804116727553222
10,Trabalho,0.018084140974397925
11,Transporte,0.01788024453073196
12,Urbanismo,0.018112352228369995
